dataset_name,algorithm_name,cross_validation,hyper_parameters_values,accuracy,tpr,fpr,precision,auc,pr_curve,training_time,inference_time
baseball.csv,BoostingBasedPruning,3,"{'T': 130, 'U': 70}",0.947761194,0.947761194,0.026119403,0.947761194,0.994152372,0.989199734,20.40620947,5.885150895
baseball.csv,BoostingBasedPruning,4,"{'T': 130, 'U': 70}",0.947761194,0.947761194,0.026119403,0.947761194,0.99356761,0.987899323,20.28439832,5.834901511
baseball.csv,BoostingBasedPruning,5,"{'T': 130, 'U': 70}",0.940298507,0.940298507,0.029850746,0.940298507,0.992370238,0.986599268,25.29066682,7.482551817
baseball.csv,BoostingBasedPruning,6,"{'T': 130, 'U': 70}",0.955223881,0.955223881,0.02238806,0.955223881,0.993219537,0.987224589,20.92405415,6.356570258
baseball.csv,BoostingBasedPruning,7,"{'T': 130, 'U': 70}",0.932835821,0.932835821,0.03358209,0.932835821,0.993790376,0.98838482,20.63640833,6.509216864
baseball.csv,BoostingBasedPruning,8,"{'T': 130, 'U': 70}",0.902985075,0.902985075,0.048507463,0.902985075,0.975412119,0.953106336,20.36871099,5.982822447
baseball.csv,BoostingBasedPruning,9,"{'T': 130, 'U': 70}",0.925373134,0.925373134,0.037313433,0.925373134,0.980772444,0.965934617,20.22371697,5.772028396
baseball.csv,BoostingBasedPruning,10,"{'T': 130, 'U': 70}",0.962686567,0.962686567,0.018656716,0.962686567,0.99413845,0.989035451,20.34043169,5.907939441
blood.csv,BoostingBasedPruning,1,"{'T': 90, 'U': 50}",0.306666667,0.306666667,0.693333333,0.306666667,0.426900585,0.219041442,2.35651803,1.288935343
blood.csv,BoostingBasedPruning,2,"{'T': 90, 'U': 50}",0.573333333,0.573333333,0.426666667,0.573333333,0.452729045,0.273814784,2.386547089,1.290594737
blood.csv,BoostingBasedPruning,3,"{'T': 90, 'U': 50}",0.773333333,0.773333333,0.226666667,0.773333333,0.666179337,0.48939355,2.286663294,1.286465327
blood.csv,BoostingBasedPruning,4,"{'T': 90, 'U': 50}",0.653333333,0.653333333,0.346666667,0.653333333,0.322612086,0.188347743,2.340766907,1.308937073
blood.csv,BoostingBasedPruning,5,"{'T': 90, 'U': 50}",0.733333333,0.733333333,0.266666667,0.733333333,0.412280702,0.237120971,2.392191648,1.294676463
blood.csv,BoostingBasedPruning,6,"{'T': 90, 'U': 50}",0.733333333,0.733333333,0.266666667,0.733333333,0.34502924,0.193727794,2.414620161,1.309744517
blood.csv,BoostingBasedPruning,7,"{'T': 90, 'U': 50}",0.653333333,0.653333333,0.346666667,0.653333333,0.533625731,0.273191796,2.407235384,1.451142629
blood.csv,BoostingBasedPruning,8,"{'T': 90, 'U': 50}",0.76,0.76,0.24,0.76,0.782163743,0.634897306,2.370622396,1.302245458
blood.csv,BoostingBasedPruning,9,"{'T': 90, 'U': 50}",0.675675676,0.675675676,0.324324324,0.675675676,0.507739938,0.228716482,2.431375265,1.330891171
blood.csv,BoostingBasedPruning,10,"{'T': 90, 'U': 50}",0.743243243,0.743243243,0.256756757,0.743243243,0.730134159,0.469427896,2.376324892,1.314772142
bodyfat.csv,BoostingBasedPruning,1,"{'T': 30, 'U': 70}",0.961538462,0.961538462,0.038461538,0.961538462,0.961538462,0.961538462,0.308233023,1.820655969
bodyfat.csv,BoostingBasedPruning,2,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.314881563,1.795961307
bodyfat.csv,BoostingBasedPruning,3,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.308609962,1.902246475
bodyfat.csv,BoostingBasedPruning,4,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.312768221,1.959114075
bodyfat.csv,BoostingBasedPruning,5,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.342779636,1.907091141
bodyfat.csv,BoostingBasedPruning,6,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.314877033,1.861257553
bodyfat.csv,BoostingBasedPruning,7,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.304626942,1.957368851
